Unnamed: 0,Author,Comment,PublishedAt,IsReply,my_label,label-4o,label-3.5,label-4preview,label-huggin
1861,@blmbed,This was an absolute masterpiece. I don't think I can ever watch a Kdrama of this caliber again in the next 10 or so years.,2025-04-05T03:01:57Z,FALSE,positive,positive,positive,positive,positive
354,@okaywhatjule,"I’m definitely now calling Simon Cowell “the Cowell”. But seriously, the second act was ruined by the judges just pulling jokes and laughing their butts off. The amount of practice the person put into this act only to be ruined by David Walliams, Alesha and maybe Simon. It’s so disgraceful to the person.",2023-03-23T17:53:59Z,FALSE,negative,negative,negative,negative,negative
1334,@jlokeepinitreal,They were all looking at sapphira at that moment tho lol I'm just observing,2024-04-24T02:14:00Z,TRUE,neutral,neutral,neutral,neutral,neutral
906,@VexCuomo,"Evil Queen to Mirror: ""Describe Snow White to me."" Mirror: ""Weird, weird.""",2024-12-04T06:35:43Z,FALSE,negative,neutral,neutral,neutral,negative
1290,@jamessantiago1680,"From beginning til the end, Nymphia has truly done it for Taiwan. Congratulations!",2024-04-21T02:53:45Z,TRUE,positive,positive,positive,positive,positive
1274,@gosplendid,She was so great❤,2024-04-26T02:43:18Z,TRUE,positive,positive,positive,positive,positive
939,@Daxrash,"Mirror mirror on my screen, can this trailer be un-seen?",2025-02-03T12:07:57Z,FALSE,negative,negative,negative,negative,neutral
1732,@COLL4T3RAL,Yeah definitely my favorite movie franchise,2025-05-10T03:54:15Z,TRUE,positive,positive,positive,positive,positive
66,@amor2874,@@maylily820 I feel like there will be so many little winks to these details!!!,2023-05-26T03:52:22Z,TRUE,positive,positive,positive,positive,positive
1324,@chaitea3421,Absolutely sublime,2024-04-22T12:18:36Z,TRUE,positive,positive,positive,positive,positive
57,@richardbaines5740,Just over a year,2024-08-03T22:12:38Z,TRUE,neutral,neutral,neutral,neutral,neutral
1293,@iandyocampo4503,"She didn’t even do anything amazing. The boba look and balloon reveal was the best part, once that was gone, the rest was mid.",2024-04-21T15:11:40Z,TRUE,negative,negative,negative,negative,neutral
