Unnamed: 0,Author,Comment,PublishedAt,IsReply,label
254,@lindaflores8610,"@@therealaisek4851 that's part of a good Chef, to select the right utensils,  and how to use them",2021-06-21T04:22:58Z,True,positive
1841,@uniquevideos30s-cc3wi,"This drama changed my way of thinking. I've watched so many dramas till now, but I never cried — yet while watching this, I was crying like a child. This drama completely changed my mindset; it gave me a new path and a new perspective.  I would give this drama a 10 out of 10.",2025-04-13T10:03:49Z,False,positive
645,@charfree6888,"Her ""complaints"" is what I love about her. She makes the process seem human. It's like we're there with her on her journey and we experienced the ups and downs together. Love ya, girl! ❤️",2022-04-24T00:22:41Z,False,positive
14,@zack8865,"@@jeanlundi2141 he's right, i had fun doing it",2023-06-04T14:50:05Z,True,positive
306,@barbara1407,"I wish I had a quarter of Gordon’s energy - and a quarter of his knowledge and skill, too.",2024-04-07T19:46:41Z,False,positive
1645,@mr.peabody7471,Gave me chills bro stg,2025-05-08T22:06:55Z,True,positive
1814,@user-jr8rl2ug7r,I wish I could could scream at the top of my lungs and recommend the whole world to watch this. We are living in times when parents and grandparents are taken for granted and it’s a shame if we realise their importance when they leave us. I’ll be more considerate towards my parents. 💕 Thank you to the makers for making this drama💫,2025-04-04T07:38:55Z,False,positive
664,@Tithm,@@kimberly38amsterdamAriana is one of the best vocalist of our generation wdym not her she’s even better than mariah now,2025-04-30T11:09:05Z,True,positive
1438,@shylae2000,I said the same.  Def looks better with age ❤,2025-05-06T11:41:28Z,True,positive
1766,@stevendalloesingh,This series knew how to do this correctly! Have a grown man whimper in fear!  I appreciate that! ❤ salute and respect!,2025-05-11T20:12:41Z,False,positive
105,@AWholeVibe96,Sameeee!!! I MUST catch this!,2023-05-26T15:24:47Z,True,positive
253,@themr_wilson,I just love how The Witch looks like a marionette being skillfully handled - that is a really nice touch,2023-03-22T19:57:41Z,False,positive
914,@NathanWinn-v9r,HOLY SH!T THAT'S SAVAGE,2025-01-29T02:26:32Z,True,positive
1892,@GreisyTofful,The bag I bought at  *preluxz*  is very beautiful. The variety of textures in the bag is impressive.,2025-01-04T01:01:37Z,True,positive
556,@kimm7882,I love working out with your videos! You keep the workouts realistic! Attainable! Fun! I feel the results and like so many enjoy the scenery of your locations! Just awesome!,2021-09-05T14:51:45Z,False,positive
1873,@kerllymorales2683,"This trailer is so beautiful! The music, cinematography, visuals and acting are already on point. This drama is going to be so good and that’s not even my bias talking! 😭😭😭😭😭",2025-02-21T01:48:47Z,False,positive
1446,@seffishestopal5950,"The enthusiasm from Marcello when he said ""She's like my sis. But we did hook up though."" 😆",2024-10-13T16:08:25Z,False,positive
176,@Im.shyyeek,"I couldn’t envision myself when I was happy, safe or healthy, maybe it’s just trauma, but I felt amazing relaxing, wish this was like an hour long!",2024-11-11T06:13:42Z,False,positive
143,@NaolDGemechu,May the lord be with us all 😊,2023-10-01T11:38:56Z,False,positive
1482,@jumpordaa,This would've been the best upgrade for old iPhones. It'll just give another year of life for older iPhones,2024-12-01T15:12:58Z,False,positive
270,@mycroft16,Someone respectful of the magic. And he always adores a good performance.,2025-02-25T20:53:24Z,True,positive
327,@selyemperzsa1,Thank you for the tip at 2:21 about how to keep the edges/sides of the tart nice and even. Krisztina,2021-09-06T15:02:09Z,False,positive
1678,@DavidMartinez-ce3lp,"​@@LovesfarmigaAgreed, i love seeing them together. It was nice to have such wholesome moments in horror movies with the Conjuring films.",2025-05-09T22:00:57Z,True,positive
1166,@mommy2natia,I wish more cooking channels were like this.,2021-08-14T03:03:38Z,False,positive
629,@Faust075,This was by far the very best moment of this Oscar ceremony !!! They are both magical !,2025-03-15T16:01:46Z,False,positive
553,@irenebel9225,"The BEST way to say goodnight for us, with our butts and arms about to fall 🥲🙌🏻💖💜 love you so much Pam! ❤",2021-06-16T06:38:15Z,False,positive
795,@llm96_,BRO I FVCKING CRIED. WOW,2025-03-03T01:01:11Z,False,positive
741,@chadpatrick5112,"Complaining about a process is a key component to improving the process.  When you have a project like your castles, the complaints of the first led directly to improving the process that you used to make the second.  This isn't simply whinging, this is identifying areas for process improvement.    Keep kicking ass and complaining while you do it!  Can't argue with the results!",2022-04-25T15:39:55Z,False,positive
874,@trx38,"Verily, I shall with steadfast heart and noble honour continue thy quest, as a true knight of olde.",2024-12-11T08:50:36Z,True,positive
616,@lyricsronen,"The cover designs are fantastic, and the design of the deathly hallows standing out with the bulk of metal leaf and having the dramatic symbol peer through the Hogwarts silhouette is just incredible. Gives it the dramatic flare of a finale.",2023-01-30T15:51:18Z,False,positive
1693,@lenny.winter,Thanks for watching!,2023-12-06T11:29:32Z,True,positive
1989,@starrymedicine5298,This show is absolutely outstanding!!!!  So beautiful!!!!,2025-03-24T21:18:32Z,False,positive
1584,@minirth.maggie,"""But... we didn't go to Vegas, we went to Charleston! Hit it!""  Her manic energy is great!",2024-11-27T15:59:15Z,False,positive
592,@juliawolson6122,Great stretch! Thank you!,2021-10-22T00:46:26Z,False,positive
1952,@YonatanDax,"What attracts you is the style first, and what amazes you is the quality that radiates your innate light. Everything around you will be better   *hotdups*",2024-12-05T06:12:32Z,True,positive
925,@user-tu9bh1uq3x,I only wish the best for my fellow investors!,2025-01-14T04:22:29Z,True,positive
386,@chrissyknowsitall5170,This witch is amazing!! I wanna take him to lunch!! His humor kills me💀💀💀🤣🤣🤣,2023-08-22T08:02:42Z,False,positive
1647,@maxtinimaxtini,"Dutch native here who's lived in Brooklyn for a while. I can't explain why, but when I first arrived there was something eerily similar about the vibe there which made me feel at home within a matter of hours. I can see why you experienced something similar :)",2024-10-10T13:34:58Z,True,positive
1194,@gta-ju1ov,"Here in Brazil we call it ""sonho"" (dream) its so good!",2021-06-18T16:03:09Z,True,positive
1607,@lenny.winter,Thank you so much!!,2023-08-22T07:48:58Z,True,positive
1684,@xuanhungcao3677,"Hey Lenny! I have watched your Dublin video before I relocated there also to work in a tech company and I couldn't find it more accurate :) Interestingly enough, my long-term partner is in the Netherland (at Groningen if you know) and Amsterdam is apparently top of our mind when it comes to finding a new city to live together. Thanks for this insightful video, I wish you all the best on your London chapter and please keep us posted about the city!",2023-03-11T17:21:03Z,False,positive
207,@kckgirl78,The WITCH deserves his own Las Vegas show. AWESOME!!! 👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,2023-09-22T10:10:50Z,False,positive
1702,@stevensplash1716,This NEEDS to be watched in the Theaters.,2025-05-08T23:58:50Z,False,positive
1945,@poojashah6171,The best drama ever in the history...each and everyone feels its their own story at some point of time... Every small details executes so perfectly...from writing to direction to acting everything is bang on.... couldn't stop crying...❤❤❤,2025-04-16T17:43:40Z,False,positive
1727,@senoritabella3,The conjuring has had the best sequels of any franchise. Love this! ❤,2025-05-11T14:33:03Z,False,positive
373,@kckgirl78,The WITCH is both disturbing and fascinating!! 👏🏽👏🏽👏🏽👏🏽,2023-09-22T10:02:30Z,False,positive
383,@Art_with_gautam,That was his first time he came back more confident,2024-05-21T17:35:20Z,True,positive
146,@michaela_miller,Oh my goodness. That was one of the most profound metta meditations I have ever had. Hopping off the phone now to go bask in a sun spot in my yard. Much love to all ❤,2025-03-04T17:17:33Z,False,positive
