Unnamed: 0,Author,Comment,PublishedAt,IsReply,label
1,@mindspace0,"I hope everyone who's watching this has the strength to just get of bed today , the that you're watching this video means that you're trying, and that's enough ♥️",2022-05-01T02:37:48Z,False,positive
2,@roybrown1592,Thanks your words made me have the courage to face the very worst day ❤❤❤,2022-11-05T12:16:51Z,True,positive
3,@therapywithlara,What a lovely message! And to you too!,2022-11-16T20:27:09Z,True,positive
4,@erincarlsen,thank u I really needed this today❤️❤️,2022-11-22T23:48:48Z,True,positive
5,@chillandrelaxbackgroundmus2620,"To the beautiful soul reading this. Please know that you are loved. Things may not be at their best right now but trust and believe that the universe has planned something for you. Everything is organized in a chaotic manner. You will eventually be led to where you should be, with the people you should be with. Just act with good intentions and the universe will take care of you, I promise.",2022-09-10T19:35:35Z,False,positive
6,@realitywithnetavian.4941,Thank you. So much,2023-03-10T18:31:00Z,True,positive
7,@brandonbyng9681,Needed this ..such kind words..be well friend,2023-04-11T05:06:32Z,True,positive
8,@motivatinglila,thank you for your kind words ❤,2023-04-18T11:09:00Z,True,positive
9,@tanyachung1501,Thank you so much. I'm happy I started to read the comments.  Everything just went wrong for me. I couldn't remember happy times as a child.  I couldn't think of a time I experienced sheer happiness.  I've never felt safe.   This meditation walk I can tell will not be easy but I don't know where else to turn.,2023-05-05T05:20:32Z,True,negative
10,@hazeraw,@chill and relax background music:  You're words are highly appreciated! Blessings. 💫,2023-05-25T10:55:28Z,True,positive
11,@lilapln,"the way I just started crying when he said envision a child vers. of you, this was very healing",2022-12-05T03:56:35Z,False,positive
12,@diamondrios761,I legit thought it was only me. The way I started crying …. Ugh. Much needed.,2022-12-07T15:54:47Z,True,positive
13,@nijimura5716,"samee i started to smile and cried remembering the good old days, needed this more than i thought",2022-12-24T15:19:10Z,True,positive
14,@azzullaaa4659,Me neither😢..,2022-12-27T17:37:55Z,True,negative
15,@MeditationByte,"This is not an accident when you read this. I want you to know that EVERYTHING WILL TURN OUT ALRIGHT. You are not your struggles, your pain, or your past. You are a radiant being of light, capable of creating a beautiful future. Trust in the journey, and know that you are never alone. The universe is cheering you on, and so am I. 💜✨",2025-03-09T23:50:02Z,False,positive
16,@okaybye-jv4le,Thank you for this 💗,2025-03-10T19:11:21Z,True,positive
17,@WildcardASMR,I truly hope so,2025-03-18T17:36:29Z,True,neutral
18,@sofialunapiena9903,Thank you for this❤️,2025-03-20T08:19:32Z,True,positive
19,@BarkleyProductions_26,Needed this,2025-04-02T03:49:26Z,True,positive
20,@Legendtee,I literally cried and came to the comments to see if i was the only one  Wow meditation really helps unleash so many triggers and childhood trauma,2023-09-19T02:04:22Z,False,negative
21,@mzthickness817,Me too😢,2024-12-31T14:05:18Z,True,negative
22,@shannajacobsen5890,You went. Lots of sadness came up for me. Not blame just a release of grief. I feel like this helps connect the little me with the grown up me.,2025-01-20T22:04:23Z,True,neutral
23,@the_zarra,It made me cry too❤,2025-02-03T10:06:00Z,True,positive
24,@kiabush5664,May I be happy  May I be safe May I be healthy  May I live with ease  🤞🏾💕🙏🏾🥰,2022-07-11T14:53:48Z,False,positive
25,@michellereganzamora,May you be happy  May you be safe  May you be healthy  May you live with ease  ❤,2023-01-09T20:36:08Z,True,positive
26,@afonsorodrigues9978,May yall be happy May yall be safe May yall be healthy May yall leave with ease 😁🫶🏼,2023-02-01T22:42:08Z,True,positive
27,@kiabush5664,I Allow myself to be happy  I Allow myself to be safe I Allow myself to be healthy  I Allow myself to live with ease,2023-02-01T23:37:15Z,True,positive
28,@problematicpunk,May we all be happy  May we all be safe  May we all be healthy  May we all  live with ease,2023-02-28T04:23:31Z,True,positive
29,@earbarf,For it to be more effective switch the word may to I am!,2023-03-27T16:48:29Z,True,neutral
30,@louc6914,First ever meditation I have cried with. I've been meditating for years and for some reason this one really hit something!,2022-05-09T17:54:41Z,False,positive
31,@wsklksikj8187,"Amazing, hope I can experience this type of meditation some day!",2022-08-11T14:43:00Z,True,positive
32,@carlosm.1311,"I felt something special with this meditation too, Lou!",2022-08-31T12:25:20Z,True,positive
33,@lisarollisson8673,Is this supposed to make you cry???,2022-03-11T10:38:37Z,False,neutral
34,@pentopaper789,"Wow, good to know it wasn't just me!",2022-03-13T22:03:21Z,True,neutral
35,@Queenadorn,You’re definitely not alone it got me too 😢lol,2023-02-11T02:38:15Z,True,neutral
36,@sidneymcmillian1568,It made me tear up for sure!!!! What a beautiful morning,2023-03-01T11:47:27Z,True,positive
37,@reynazuli,Yes. It means You are releasing emotional blockages.,2023-03-04T02:23:53Z,True,positive
38,@jego207,"I know! me too. it hits when he says to visualize yourself as a child, then the rush of endorphins come running in.",2023-03-04T07:23:20Z,True,positive
