Unnamed: 0,Author,Comment,PublishedAt,IsReply,label
1,@user-op7gv8kn8c,Imagine when phones or cameras didnt exist..,2020-06-03T21:07:31Z,FALSE,neutral
2,@TheSpeedfreak665,It would be a cover up by the Police that's certainly the case.,2020-06-03T23:34:12Z,TRUE,negative
3,@ultraloyalservant2felineov41,Wait till the cops get light sentences. Then riots will truly begin,2020-06-03T23:39:24Z,TRUE,negative
4,@zwangie1,LIKE WHICH PART WASN'T REAL ON THIS VIDEO???,2020-06-03T23:42:36Z,TRUE,neutral
5,@tekton4044,They wanted people to film it.,2020-06-03T23:51:31Z,TRUE,neutral
6,@EM33700,"Apparently phones and cameras mean that still no one will save you.  Just watch you die.  There are at least 4 bystanders, not including at least 1 that was watching from across the street.  These people can clearly see Floyd is out, and these cops are not going to let up.  Not one person lifted a finger to help.",2020-06-04T00:09:25Z,TRUE,negative
7,@heathercrumpler5353,"That was so very sad. George Floyd was calling out “Mama” as he was dying. The police officers told he “To get up.” He said “He would.” They would not let him stand up. They just let him suffer over a $20 counterfeit money for cigarettes; he lost his job during the Pandemic. Over $20 and he was doing what the officers asked him to. I can’t believe how some police officers abuse their authority. He did nothing to deserve to die or to be abused at all. This has been me in tears. Cops have to stop abusing black people. This keeps happening over and over. Nothing changes, unless someone changes.",2020-06-01T17:22:56Z,FALSE,negative
8,@AmjadAli-yk3oh,Yes dear it was very bad he told again and again that he can't breath but the cops just understand he was telling lie shame on American police when one female said that he is dead check his pulse..,2020-06-01T17:29:47Z,TRUE,negative
9,@nurnajihah6935,it is done out of hatred to George..why would you choke him like that it's not like it's a big deal..you can just ask him properly..this really breaks my heart.. RIP George Floyd..,2020-06-01T17:41:01Z,TRUE,negative
10,@AmjadAli-yk3oh,@heuheuheu hyuk hyuk I think not at all because George's was a poor man...,2020-06-01T18:00:06Z,TRUE,neutral
11,@farahsvanborg5213,heuheuheu hyuk hyuk yeah. No one must be treated that way regardless of race.,2020-06-01T18:13:41Z,TRUE,negative
12,@xxexpiredmilkxx3041,“ get up get in the car man! “ “I will!” “ JUST GET UP AND GET IN THE CAR!”,2020-06-02T10:56:53Z,FALSE,neutral
13,@scienz,"Why doesnt anyone interview that guy? He said ""i saw the whole thing""",2020-06-02T13:22:10Z,TRUE,neutral
14,@CravensBen,That part made me lose it.,2020-06-02T13:59:10Z,TRUE,neutral
15,@arielskys8727,@Jcherry316 speculation,2020-06-02T14:17:23Z,TRUE,neutral
16,@mckenzieball7723,That is messed up they expect him to get up when there on him,2020-06-02T14:22:36Z,TRUE,negative
17,@ifazio6165,The thing is that they didn’t even GIVE HIM A CHANCE,2020-06-02T14:34:20Z,TRUE,negative
18,@morganlee2806,"I know he's dead, but what about the pregnant woman and her baby that he held up at gunpoint?",2024-04-19T18:06:38Z,FALSE,negative
19,@abinsurly2910,"What about them? Really. There's a strong implication of ""So what"" regarding the way this man's life was taken, but is there an actual question within your question?",2024-04-27T00:42:32Z,TRUE,negative
20,@skippythefreak91,"@@abinsurly2910 he obviously overdosed even the coroner said so. if you do 15 minutes of research it clearly shows signs typical of overdose. he said ""i cant breathe"" before he was even in the car or on the ground.",2024-04-28T03:21:22Z,TRUE,negative
21,@abinsurly2910,"​@@skippythefreak91 Buddy, you could have blood cancer and your ""official"" cause of death be renal failure or cardiac arrest. None of your bullsht explains a cop -- braindead though most are -- placing a knee on the back of the neck of a prone, handcuffed man. Do YOU also not know or care when other people are at your mercy?",2024-04-28T16:16:18Z,TRUE,negative
22,@roblewis8227,"There a 2019 arrest where he tries to eat his stash before being arrested. Also if someone is kneeling on your neck hard enough to suffocate you, you won't be able to calmly talk throughout. It very unlikely that he would go into cardiac arrest several minutes after being suffocated. There is obvious bad practice by the officers, but this is not what it's been made out to be after the event.",2024-05-05T13:26:38Z,TRUE,neutral
23,@CrazySaiyanSavo,@@skippythefreak91 overdose or not having a knee on someone's neck is lethal,2024-05-06T14:26:31Z,TRUE,negative
24,@johannes9971,How tf is he supposed to get in the car when he has his knees on his neck?,2020-06-02T19:42:11Z,FALSE,negative
25,@gavinoctavien1400,Exactly and he kept the knee on him even after the EMS arrived,2020-06-02T21:07:56Z,TRUE,negative
26,@knelle4441,We call this torture...,2020-06-02T21:14:31Z,TRUE,negative
27,@knighthawk6189,"They seem like they were toying/taunting him saying that,like an older brother would to a younger brother,they knew he couldn't get up.",2020-06-02T22:11:27Z,TRUE,negative
28,@samuels1414,@Big Rebel what was funny?! Taking another mans life? You must be out of your mind...,2020-06-02T22:14:21Z,TRUE,negative
29,@chris64Xx,And report him,2020-06-02T22:41:58Z,TRUE,negative
